Date,ASSET,Open,High,Low,Close,Adj Close,Volume
6/10/1985,BERK,0,20.416666,15.833333,20.416666,15.999472,2100
6/11/1985,BERK,20.416666,20.416666,20.416666,20.416666,15.999472,0
6/12/1985,BERK,20.416666,20.416666,20.416666,20.416666,15.999472,0
6/13/1985,BERK,20.416666,20.416666,20.416666,20.416666,15.999472,0
6/14/1985,BERK,20.416666,20.416666,20.416666,20.416666,15.999472,0
6/17/1985,BERK,0,19.583334,18.75,19.166666,15.019914,23100
6/18/1985,BERK,0,19.166666,18.333334,18.333334,14.366873,8100
6/19/1985,BERK,0,18.333334,17.916666,18.333334,14.366873,19200
6/20/1985,BERK,0,18.333334,17.916666,17.916666,14.04035,6000
6/21/1985,BERK,0,18.75,17.5,17.916666,14.04035,8700
6/24/1985,BERK,0,18.333334,17.916666,18.333334,14.366873,9300
6/25/1985,BERK,0,18.333334,17.916666,18.333334,14.366873,24000
6/26/1985,BERK,0,18.333334,17.916666,18.333334,14.366873,12300
6/27/1985,BERK,0,18.333334,17.5,18.333334,14.366873,69600
6/28/1985,BERK,0,18.333334,17.5,17.916666,14.04035,15600
7/1/1985,BERK,0,17.916666,17.5,17.916666,14.04035,14400
7/2/1985,BERK,0,18.75,17.5,17.5,13.713833,11100
7/3/1985,BERK,0,17.916666,17.5,17.5,13.713833,5100
7/5/1985,BERK,0,17.916666,17.5,17.916666,14.04035,2100
7/8/1985,BERK,0,17.916666,17.5,17.5,13.713833,11700
7/9/1985,BERK,0,17.916666,16.666666,16.666666,13.060794,65700
7/10/1985,BERK,0,17.5,17.083334,17.5,13.713833,12000
7/11/1985,BERK,0,17.5,17.083334,17.083334,13.387313,11700
7/12/1985,BERK,0,17.5,16.25,16.25,12.734273,11100
7/15/1985,BERK,0,17.083334,16.25,16.666666,13.060794,12600
7/16/1985,BERK,0,17.083334,16.25,17.083334,13.387313,10500
7/17/1985,BERK,0,17.083334,16.25,16.25,12.734273,8700
7/18/1985,BERK,0,16.666666,15.833333,15.833333,12.407753,7800
7/19/1985,BERK,0,16.25,15.416667,16.25,12.734273,19800
7/22/1985,BERK,0,16.25,15.416667,15.416667,12.081233,7500
7/23/1985,BERK,0,16.25,15,15.833333,12.407753,44400
7/24/1985,BERK,0,15.833333,14.166667,14.166667,11.101677,19800
7/25/1985,BERK,0,15,14.166667,14.583333,11.428195,36300
7/26/1985,BERK,0,15,13.75,14.166667,11.101677,83100
7/29/1985,BERK,0,15,14.166667,14.166667,11.101677,3000
7/30/1985,BERK,0,15,14.166667,14.583333,11.428195,51300
7/31/1985,BERK,0,15,14.583333,15,11.754714,9000
8/1/1985,BERK,0,15,13.75,14.583333,11.428195,16500
8/2/1985,BERK,0,15,14.583333,14.583333,11.428195,9600
8/5/1985,BERK,0,15,14.583333,15,11.754714,19200
