Date,ASSET,Open,High,Low,Close,Adj Close,Volume
1/3/1977,C,16.133125,16.236876,16.133125,16.236876,11.288954,47800
1/4/1977,C,16.236876,16.28875,16.184999,16.28875,11.325025,34200
1/5/1977,C,16.28875,16.28875,16.133125,16.184999,11.252887,15300
1/6/1977,C,16.133125,16.133125,15.925625,16.081249,11.180753,39000
1/7/1977,C,16.081249,16.133125,15.925625,16.133125,11.216819,20400
1/10/1977,C,16.133125,16.340626,16.133125,16.28875,11.325025,42800
1/11/1977,C,16.28875,16.3925,16.28875,16.340626,11.36109,22000
1/12/1977,C,16.340626,16.340626,16.133125,16.340626,11.36109,34900
1/13/1977,C,16.340626,16.548124,16.340626,16.444374,11.433225,34400
1/14/1977,C,16.444374,16.548124,16.3925,16.49625,11.469286,20600
1/17/1977,C,16.28875,16.28875,16.029375,16.133125,11.216819,33700
1/18/1977,C,16.133125,16.184999,16.029375,16.184999,11.252887,34200
1/19/1977,C,16.184999,16.236876,16.081249,16.236876,11.288954,19600
1/20/1977,C,16.236876,16.340626,15.925625,16.133125,11.216819,79400
1/21/1977,C,16.133125,16.184999,15.9775,16.133125,11.216819,19200
1/24/1977,C,16.133125,16.184999,16.029375,16.184999,11.252887,24000
1/25/1977,C,16.184999,16.340626,16.184999,16.28875,11.325025,24900
1/26/1977,C,16.236876,16.236876,16.081249,16.133125,11.216819,22800
1/27/1977,C,16.133125,16.184999,15.9775,16.184999,11.252887,26400
1/28/1977,C,16.133125,16.184999,15.9775,16.184999,11.252887,26400
1/31/1977,C,16.133125,16.133125,15.9775,16.029375,11.144678,18000
2/1/1977,C,16.029375,16.133125,16.029375,16.133125,11.216819,20100
2/2/1977,C,16.133125,16.184999,16.029375,16.029375,11.144678,72000
2/3/1977,C,16.029375,16.184999,15.87375,16.029375,11.144678,186900
2/4/1977,C,16.029375,16.184999,15.9775,16.081249,11.180753,35600
2/7/1977,C,16.081249,16.184999,16.029375,16.133125,11.216819,20600
2/8/1977,C,16.133125,16.236876,16.081249,16.184999,11.252887,23500
2/9/1977,C,16.184999,16.184999,16.029375,16.081249,11.180753,17200
2/10/1977,C,16.081249,16.28875,16.081249,16.28875,11.325025,16300
2/11/1977,C,16.28875,16.28875,16.133125,16.236876,11.288954,24700
2/14/1977,C,16.236876,16.236876,16.133125,16.184999,11.252887,17200
2/15/1977,C,16.184999,16.184999,16.081249,16.184999,11.252887,16800
2/16/1977,C,16.184999,16.236876,16.081249,16.184999,11.252887,25200
2/17/1977,C,16.184999,16.236876,16.133125,16.133125,11.216819,22300
2/18/1977,C,16.133125,16.28875,16.081249,16.28875,11.325025,26100
2/22/1977,C,16.28875,16.28875,16.184999,16.28875,11.325025,17500
2/23/1977,C,16.28875,16.340626,16.236876,16.340626,11.36109,44200
2/24/1977,C,16.340626,16.340626,16.236876,16.340626,11.36109,80600
2/25/1977,C,16.28875,16.28875,16.184999,16.184999,11.252887,18000
2/28/1977,C,16.184999,16.28875,15.9775,16.133125,11.216819,35100
3/1/1977,C,16.133125,16.28875,16.029375,16.184999,11.252887,47100
3/2/1977,C,16.184999,16.340626,16.184999,16.340626,11.36109,36300
3/3/1977,C,16.340626,16.340626,16.236876,16.340626,11.36109,68400
3/4/1977,C,16.340626,16.444374,16.28875,16.444374,11.433225,43500
3/7/1977,C,16.444374,16.49625,16.340626,16.444374,11.433225,21100
3/8/1977,C,16.444374,16.548124,16.340626,16.340626,11.36109,43500
3/9/1977,C,16.340626,16.340626,16.236876,16.28875,11.325025,21600
3/10/1977,C,16.28875,16.340626,16.133125,16.236876,11.288954,25400
3/11/1977,C,16.236876,16.340626,16.236876,16.28875,11.325025,24700
3/14/1977,C,16.28875,16.3925,16.236876,16.3925,11.397157,28800
3/15/1977,C,16.444374,16.6,16.444374,16.49625,11.469286,103500
3/16/1977,C,16.49625,16.703751,16.49625,16.6,11.541419,85900
3/17/1977,C,16.6,16.651875,16.444374,16.548124,11.505352,40900
3/18/1977,C,16.548124,16.6,16.49625,16.49625,11.469286,22500
3/21/1977,C,16.49625,16.651875,16.49625,16.548124,11.505352,31800
3/22/1977,C,16.548124,16.548124,16.3925,16.444374,11.433225,33200
3/23/1977,C,16.444374,16.548124,16.444374,16.49625,11.469286,29200
3/24/1977,C,16.49625,16.49625,16.444374,16.49625,11.469286,31000
3/25/1977,C,16.49625,16.49625,16.236876,16.340626,11.36109,20400
3/28/1977,C,16.28875,16.28875,16.133125,16.28875,11.325025,33700
3/29/1977,C,16.28875,16.340626,16.236876,16.340626,11.36109,13600
3/30/1977,C,16.340626,16.340626,16.28875,16.28875,11.325025,15800
3/31/1977,C,16.28875,16.3925,16.28875,16.28875,11.325025,44000
4/1/1977,C,16.28875,16.444374,16.28875,16.3925,11.397157,31500
4/4/1977,C,16.3925,16.444374,16.28875,16.340626,11.36109,17700
4/5/1977,C,16.340626,16.3925,16.133125,16.340626,11.36109,37500
4/6/1977,C,16.340626,16.49625,16.340626,16.3925,11.397157,21300
4/7/1977,C,16.444374,16.548124,16.444374,16.548124,11.505352,24200
4/11/1977,C,16.548124,16.651875,16.444374,16.49625,11.469286,42300
4/12/1977,C,16.49625,16.807501,16.49625,16.807501,11.685686,24400
4/13/1977,C,16.807501,16.911249,16.6,16.911249,11.757822,144200
4/14/1977,C,16.911249,17.170626,16.911249,17.014999,11.829963,49300
4/15/1977,C,17.014999,17.170626,16.911249,16.911249,11.757822,33000
4/18/1977,C,16.703751,16.703751,16.49625,16.548124,11.505352,37000
4/19/1977,C,16.49625,16.49625,16.3925,16.3925,11.397157,57000
4/20/1977,C,16.49625,16.6,16.49625,16.6,11.541419,28500
4/21/1977,C,16.6,16.6,16.49625,16.548124,11.505352,16500
4/22/1977,C,16.548124,16.6,16.444374,16.444374,11.433225,24900
4/25/1977,C,16.444374,16.49625,16.236876,16.236876,11.288954,22500
4/26/1977,C,16.236876,16.3925,16.184999,16.3925,11.397157,23700
4/27/1977,C,16.3925,16.6,16.340626,16.444374,11.433225,27600
4/28/1977,C,16.444374,16.548124,16.3925,16.444374,11.433225,19900
4/29/1977,C,16.444374,16.548124,16.3925,16.49625,11.469286,34200
5/2/1977,C,16.49625,16.703751,16.444374,16.6,11.541419,34200
5/3/1977,C,16.6,16.703751,16.548124,16.6,11.541419,21300
5/4/1977,C,16.6,16.703751,16.548124,16.651875,11.577487,21100
5/5/1977,C,16.651875,16.651875,16.548124,16.6,11.541419,20600
5/6/1977,C,16.6,16.6,16.444374,16.6,11.541419,14400
5/9/1977,C,16.6,16.755625,16.49625,16.651875,11.577487,49000
5/10/1977,C,16.651875,16.755625,16.651875,16.651875,11.577487,16300
5/11/1977,C,16.651875,16.755625,16.6,16.703751,11.613563,17000
5/12/1977,C,16.703751,16.755625,16.548124,16.651875,11.577487,39400
5/13/1977,C,16.651875,16.703751,16.6,16.6,11.541419,11500
5/16/1977,C,16.6,16.651875,16.6,16.6,11.541419,24200
5/17/1977,C,16.6,16.755625,16.6,16.703751,11.613563,29700
5/18/1977,C,16.703751,16.755625,16.651875,16.703751,11.613563,35400
5/19/1977,C,16.703751,16.859375,16.651875,16.703751,11.613563,53400
5/20/1977,C,16.807501,16.911249,16.807501,16.911249,11.757822,19600
5/23/1977,C,16.859375,16.859375,16.703751,16.755625,11.649621,23000
5/24/1977,C,16.755625,16.807501,16.6,16.703751,11.613563,23700
5/25/1977,C,16.703751,16.807501,16.651875,16.755625,11.649621,25900
5/26/1977,C,16.755625,16.755625,16.6,16.703751,11.613563,14100
5/27/1977,C,16.703751,16.703751,16.6,16.6,11.541419,15800
5/31/1977,C,16.6,16.6,16.340626,16.49625,11.469286,28800
6/1/1977,C,16.49625,16.6,16.444374,16.548124,11.505352,14600
6/2/1977,C,16.548124,16.651875,16.49625,16.651875,11.577487,30100
6/3/1977,C,16.651875,16.703751,16.6,16.703751,11.613563,26400
6/6/1977,C,16.703751,16.703751,16.3925,16.444374,11.433225,35600
