Date,Asset,Open,High,Low,Close,Adj Close,Volume
3/15/2006,GD=F,436,436,436,436,436,0
3/16/2006,GD=F,440,440,440,440,440,0
3/17/2006,GD=F,440,440,440,440,440,0
3/19/2006,GD=F,null,null,null,null,null,null
3/20/2006,GD=F,427.5,427.5,427.5,427.5,427.5,0
3/21/2006,GD=F,431.75,431.75,431.75,431.75,431.75,0
3/22/2006,GD=F,428.899994,428.899994,428.899994,428.899994,428.899994,0
3/23/2006,GD=F,437.700012,437.700012,437.700012,437.700012,437.700012,0
3/24/2006,GD=F,439.5,439.5,439.5,439.5,439.5,0
3/26/2006,GD=F,null,null,null,null,null,null
3/27/2006,GD=F,439.5,439.5,439.5,439.5,439.5,0
3/28/2006,GD=F,447,447,447,447,447,0
3/29/2006,GD=F,451,451,451,451,451,0
3/30/2006,GD=F,456,456,456,456,456,0
3/31/2006,GD=F,453.5,453.5,453.5,453.5,453.5,0
4/2/2006,GD=F,null,null,null,null,null,null
4/3/2006,GD=F,455.5,455.5,455.5,455.5,455.5,0
4/4/2006,GD=F,451.5,451.5,451.5,451.5,451.5,0
4/5/2006,GD=F,456.200012,456.200012,456.200012,456.200012,456.200012,0
4/6/2006,GD=F,459.700012,459.700012,459.700012,459.700012,459.700012,0
4/7/2006,GD=F,457.200012,457.200012,457.200012,457.200012,457.200012,0
4/9/2006,GD=F,null,null,null,null,null,null
4/10/2006,GD=F,465.5,465.5,465.5,465.5,465.5,0
4/11/2006,GD=F,467.600006,467.600006,467.600006,467.600006,467.600006,0
4/12/2006,GD=F,469,469,469,469,469,0
4/13/2006,GD=F,473.200012,473.200012,473.200012,473.200012,473.200012,0
4/14/2006,GD=F,null,null,null,null,null,null
4/16/2006,GD=F,null,null,null,null,null,null
4/17/2006,GD=F,481.5,481.5,481.5,481.5,481.5,0
4/18/2006,GD=F,491.399994,491.399994,491.399994,491.399994,491.399994,0
4/19/2006,GD=F,496.600006,496.600006,496.600006,496.600006,496.600006,0
4/20/2006,GD=F,493,493,493,493,493,0
4/21/2006,GD=F,501,501,501,501,501,0
4/23/2006,GD=F,null,null,null,null,null,null
4/24/2006,GD=F,491,491,491,491,491,0
4/25/2006,GD=F,490.5,490.5,490.5,490.5,490.5,0
4/26/2006,GD=F,486,486,486,486,486,0
4/27/2006,GD=F,476,476,476,476,476,0
4/28/2006,GD=F,480.5,480.5,480.5,480.5,480.5,0
4/30/2006,GD=F,null,null,null,null,null,null
5/1/2006,GD=F,490.5,490.5,490.5,490.5,490.5,0
5/2/2006,GD=F,495.5,495.5,495.5,495.5,495.5,0
5/3/2006,GD=F,483.700012,483.700012,483.700012,483.700012,483.700012,0
5/4/2006,GD=F,479,479,474,476,476,0
5/5/2006,GD=F,477.5,477.5,477.5,479,479,0
5/7/2006,GD=F,null,null,null,null,null,null
5/8/2006,GD=F,475.450012,475.450012,475.450012,475.450012,475.450012,0
5/9/2006,GD=F,481.700012,481.700012,481.700012,481.700012,481.700012,0
5/10/2006,GD=F,492.450012,492.450012,492.450012,492.450012,492.450012,0
5/11/2006,GD=F,499.700012,499.700012,499.700012,499.700012,499.700012,0
5/12/2006,GD=F,null,null,null,null,null,null
5/14/2006,GD=F,null,null,null,null,null,null
5/15/2006,GD=F,474.5,474.5,474.5,474.5,474.5,0
5/16/2006,GD=F,475.700012,475.700012,475.700012,475.700012,475.700012,0
5/17/2006,GD=F,469.700012,469.700012,469.700012,469.700012,469.700012,0
5/18/2006,GD=F,471.399994,471.399994,471.399994,471.399994,471.399994,0
