Date,ASSET,Open,High,Low,Close,Adj Close,Volume
7/16/1999,HSBC,62.125,62.3125,61.625,62.0625,22.592508,231400
7/19/1999,HSBC,63.625,63.6875,61.5,62.1875,22.638008,158200
7/20/1999,HSBC,61.75,61.75,60.75,60.875,22.160231,79400
7/21/1999,HSBC,60.875,61.1875,60.375,61,22.20573,75200
7/22/1999,HSBC,60.9375,61,60.625,60.875,22.160231,33500
7/23/1999,HSBC,58.5,58.5,57.25,57.5625,20.954384,114700
7/26/1999,HSBC,57.3125,58.25,57.25,58,21.113642,46000
7/27/1999,HSBC,59.3125,60.25,59,60.125,21.887201,82400
7/28/1999,HSBC,58.5,59.375,58,58.875,21.432167,93100
7/29/1999,HSBC,58.875,58.875,57.5,57.5,20.931633,65600
7/30/1999,HSBC,60.25,60.25,59.5,60.25,21.932705,82900
8/2/1999,HSBC,60.5,63.3125,60.5,62.625,22.797277,73700
8/3/1999,HSBC,63.25,63.25,62.375,63,22.93379,97300
8/4/1999,HSBC,63.25,64,62.5625,63.875,23.252296,64500
8/5/1999,HSBC,61.3125,61.75,60,61.6875,22.455992,192800
8/6/1999,HSBC,59.8125,60.125,59,59.125,21.52318,110200
8/9/1999,HSBC,58.75,59,58.5625,58.6875,21.363903,52900
8/10/1999,HSBC,57,57.625,56.625,57.625,20.977129,67500
8/11/1999,HSBC,58.25,58.75,57.875,58.75,21.386662,46500
8/12/1999,HSBC,61.125,61.125,60.375,60.4375,22.000959,70200
8/13/1999,HSBC,60,61,60,60.625,22.069218,55200
8/16/1999,HSBC,60.625,60.875,60.25,60.5625,22.046467,53000
8/17/1999,HSBC,61,61,60.5,60.625,22.069218,36800
8/18/1999,HSBC,60.5,60.625,59.625,59.9375,22.088108,36000
8/19/1999,HSBC,61,62.125,61,61.9375,22.825163,69300
8/20/1999,HSBC,62.5,63.375,62.5,63.25,23.308838,52300
8/23/1999,HSBC,63.625,64.875,63.625,63.875,23.539156,105400
8/24/1999,HSBC,63.5,63.6875,62.1875,63.6875,23.470068,119000
8/25/1999,HSBC,63.75,64,61.6875,61.75,22.75606,137700
8/26/1999,HSBC,63.5,63.5,61.875,61.9375,22.825163,89700
8/27/1999,HSBC,62.1875,62.625,61.0625,61.125,22.525734,88100
8/30/1999,HSBC,62.5,62.8125,61.875,61.9375,22.825163,97400
8/31/1999,HSBC,62.1875,62.5,61.375,62.25,22.940323,51000
9/1/1999,HSBC,61.6875,61.6875,61.1875,61.625,22.709997,81200
9/2/1999,HSBC,60.6875,60.75,60,60.6875,22.364515,41400
9/3/1999,HSBC,61.5,61.75,61.3125,61.75,22.75606,88300
9/7/1999,HSBC,62.25,62.25,61.625,61.75,22.75606,21900
9/8/1999,HSBC,61,61.4375,60.875,61.25,22.57181,25900
9/9/1999,HSBC,62.75,62.75,62.3125,62.625,23.078524,74300
9/10/1999,HSBC,62.75,62.75,62.25,62.75,23.124586,82200
9/13/1999,HSBC,61.625,61.75,61.1875,61.625,22.709997,75400
9/14/1999,HSBC,60.875,60.875,60.4375,60.5625,22.318443,59200
9/15/1999,HSBC,59.1875,59.1875,58,58.75,21.650501,118500
9/16/1999,HSBC,58.5,58.625,58,58.5,21.558365,58400
9/17/1999,HSBC,59.3125,60.25,59.3125,60.125,22.157221,54200
9/20/1999,HSBC,59.5,59.6875,59.0625,59.6875,21.995983,41100
9/21/1999,HSBC,58.8125,58.8125,57.75,57.8125,21.305017,50900
9/22/1999,HSBC,57.875,59,57.875,58.875,21.696577,97000
9/23/1999,HSBC,58.75,58.75,57.5,57.5625,21.212891,33700
9/24/1999,HSBC,58.625,58.75,57.8125,58,21.374117,44700
9/27/1999,HSBC,59.75,60.375,59.6875,59.75,22.019033,66700
9/28/1999,HSBC,58.625,58.75,57.75,57.9375,21.351078,86900
9/29/1999,HSBC,56.8125,57.5625,56.8125,57.125,21.051659,79600
9/30/1999,HSBC,57.375,58.0625,57.375,58.0625,21.397154,58400
10/1/1999,HSBC,58.0625,58.0625,57.1875,57.8125,21.305017,28500
10/4/1999,HSBC,58.25,59.375,58.25,59.1875,21.811728,55300
10/5/1999,HSBC,58.25,58.8125,58,58.0625,21.397154,61400
10/6/1999,HSBC,58.875,59.5,58.8125,59.125,21.788698,30400
10/7/1999,HSBC,59.375,59.4375,58.25,58.5,21.558365,308700
10/8/1999,HSBC,58.5,58.9375,58.125,58.8125,21.673532,32500
10/11/1999,HSBC,58.25,58.375,57.6875,58.125,21.420176,34200
10/12/1999,HSBC,58,58,56.0625,57.125,21.051659,94700
10/13/1999,HSBC,56.0625,56.0625,54.6875,55.25,20.360685,159300
10/14/1999,HSBC,55.5625,56.625,55.125,56.625,20.867413,81900
10/15/1999,HSBC,54,54.5,53.125,53.9375,19.877005,124700
10/18/1999,HSBC,53.5,53.8125,53.25,53.8125,19.830938,20900
10/19/1999,HSBC,55.125,55.625,54.75,54.9375,20.245525,28800
10/20/1999,HSBC,55.375,56.5,55.375,56.5,20.821333,61900
10/21/1999,HSBC,53.75,54.75,53.75,54.75,20.176435,84100
10/22/1999,HSBC,57.375,57.8125,57.125,57.4375,21.166824,43300
10/25/1999,HSBC,56.8125,57.6875,56.8125,57.5625,21.212891,97400
10/26/1999,HSBC,57.5625,58,57.375,57.5,21.189859,79700
10/27/1999,HSBC,57.125,58,56.875,57.9375,21.351078,35000
10/28/1999,HSBC,59.5625,60.75,58.4375,59.125,21.788698,542500
10/29/1999,HSBC,61,61.75,61,61.5625,22.686962,179400
11/1/1999,HSBC,61,61,60.5625,60.75,22.387535,60100
11/2/1999,HSBC,60.8125,60.875,60.4375,60.5,22.295414,34800
11/3/1999,HSBC,60.875,61.125,60.25,60.875,22.433611,56400
11/4/1999,HSBC,61.9375,62.5,61.5,61.875,22.802126,95000
11/5/1999,HSBC,61.8125,62.25,61.5,62,22.848198,54200
11/8/1999,HSBC,61.5625,62.3125,61.5,61.5625,22.686962,59300
11/9/1999,HSBC,63.375,63.875,63.0625,63.3125,23.331865,107100
11/10/1999,HSBC,63.125,63.4375,63,63.1875,23.285805,34700
11/11/1999,HSBC,63.1875,63.25,62.25,62.4375,23.009413,52300
11/12/1999,HSBC,62.5625,64.1875,62.25,64.1875,23.654329,51600
11/15/1999,HSBC,64.125,64.625,63.8125,64,23.585236,67100
11/16/1999,HSBC,65.625,67.5,65.625,67.375,24.828997,93500
11/17/1999,HSBC,66.875,67.5625,66.8125,67.4375,24.852015,65400
11/18/1999,HSBC,66.375,67.375,66.1875,67,24.690784,94900
11/19/1999,HSBC,66.625,66.625,65.6875,66,24.322273,61800
11/22/1999,HSBC,66.75,67,65.8125,66.25,24.414404,52600
11/23/1999,HSBC,67.3125,67.75,67.125,67.3125,24.805944,76500
11/24/1999,HSBC,67.5,70,67.5,69.4375,25.58906,84400
11/26/1999,HSBC,67.75,68,67.1875,67.75,24.967182,38700
11/29/1999,HSBC,68.9375,68.9375,68.25,68.6875,25.312662,53300
11/30/1999,HSBC,65.125,65.875,64.75,65.1875,24.022848,77300
12/1/1999,HSBC,65,66.25,65,66.25,24.414404,72600
12/2/1999,HSBC,66,66.5625,65.8125,66.4375,24.483488,49200
12/3/1999,HSBC,67,67.9375,67,67.125,24.736855,74100
12/6/1999,HSBC,67.875,68.4375,67.25,67.5,24.875055,220200
12/7/1999,HSBC,67.625,67.625,66.0625,66.25,24.414404,71800
12/8/1999,HSBC,66.25,67.625,66.0625,67.125,24.736855,110600
12/9/1999,HSBC,67.125,67.625,67.125,67.5,24.875055,37400
12/10/1999,HSBC,68.625,69.75,68.625,69.625,25.658142,77300
12/13/1999,HSBC,68.625,69.375,68.5625,69.25,25.519955,36100
12/14/1999,HSBC,69,69.75,69,69.6875,25.681185,73900
12/15/1999,HSBC,66.75,67.125,66.5,67,24.690784,63900
12/16/1999,HSBC,67.25,67.875,67,67.25,24.782923,45100
12/17/1999,HSBC,68.25,68.875,68.125,68.25,25.151434,42700
12/20/1999,HSBC,69.5,69.5,68,68.1875,25.128397,44900
12/21/1999,HSBC,68.4375,69,68.125,68.5625,25.266598,35500
12/22/1999,HSBC,69,69,68.4375,68.625,25.289629,28300
12/23/1999,HSBC,68.875,69.5,68.5625,69.4375,25.58906,26500
12/27/1999,HSBC,69.3125,70.75,69,70.625,26.026669,52400
12/28/1999,HSBC,70.875,70.875,70,70.625,26.026669,26600
12/29/1999,HSBC,69.375,70.5,68.6875,70.375,25.934546,42300
12/30/1999,HSBC,70.375,70.625,70.125,70.5,25.980602,19500
12/31/1999,HSBC,70.5,71.5,70.5,71.375,26.303064,22200
1/3/2000,HSBC,71.4375,71.5,70.3125,70.6875,26.049694,59500
1/4/2000,HSBC,67.0625,68,66,66.375,24.460463,84500
1/5/2000,HSBC,64.75,66.3125,63.75,66,24.322273,118200
1/6/2000,HSBC,64,64.375,63.1875,64.125,23.631302,105400
1/7/2000,HSBC,63.75,65.9375,63.375,65.9375,24.299232,117700
1/10/2000,HSBC,63.75,66,63.375,66,24.322273,61400
1/11/2000,HSBC,62.75,63.5,62.3125,62.625,23.078524,103200
1/12/2000,HSBC,63,63.375,62.75,63.375,23.35491,47300
1/13/2000,HSBC,63.375,64.625,62.9375,64.25,23.677361,50000
1/14/2000,HSBC,63.0625,64,62.75,63.875,23.539156,66700
1/18/2000,HSBC,62.25,63.3125,61.625,63.1875,23.285805,128200
1/19/2000,HSBC,59.375,61.875,59.25,61.0625,22.502707,226700
1/20/2000,HSBC,59.25,59.25,57.75,57.875,21.328043,237900
1/21/2000,HSBC,60.1875,60.75,59.125,59.125,21.788698,167100
1/24/2000,HSBC,61,61,59.125,59.5625,21.949923,106800
1/25/2000,HSBC,58.9375,59.125,58.5,59,21.74264,71700
1/26/2000,HSBC,59,60.125,59,60.125,22.157221,62400
1/27/2000,HSBC,62.0625,62.5625,61.375,61.625,22.709997,84400
1/28/2000,HSBC,59.8125,60.75,59.8125,60,22.111156,64200
1/31/2000,HSBC,59.25,61.125,58.75,61.125,22.525734,58200
2/1/2000,HSBC,59,59.75,58.5,59.75,22.019033,69900
2/2/2000,HSBC,58.5,59.1875,58.25,59,21.74264,84600
2/3/2000,HSBC,59.75,60,59.375,59.8125,22.042061,38600
2/4/2000,HSBC,57.25,57.75,56.5,57.5,21.189859,235100
2/7/2000,HSBC,56.875,57.5,56.125,57.125,21.051659,112700
2/8/2000,HSBC,57.5625,59.25,57.5625,58.9375,21.719608,104000
2/9/2000,HSBC,59,59,58.125,58.5,21.558365,104100
2/10/2000,HSBC,58.625,58.75,57.5,58,21.374117,97000
