Date,ASSET,Open,High,Low,Close,Adj Close,Volume
3/18/1980,SPEX,0,18191.49023,15159.57422,15159.57422,15159.54102,0
3/19/1980,SPEX,0,17433.50977,14401.5957,14401.5957,14401.56348,0
3/20/1980,SPEX,14401.5957,14401.5957,14401.5957,14401.5957,14401.56348,0
3/21/1980,SPEX,0,17433.50977,14401.5957,14401.5957,14401.56348,0
3/24/1980,SPEX,0,17433.50977,14401.5957,14401.5957,14401.56348,0
3/25/1980,SPEX,0,17433.50977,14401.5957,14401.5957,14401.56348,0
3/26/1980,SPEX,0,17433.50977,14401.5957,14401.5957,14401.56348,0
3/27/1980,SPEX,0,15159.57422,12127.65918,12127.65918,12127.63281,0
3/28/1980,SPEX,0,15159.57422,12127.65918,12127.65918,12127.63281,0
3/31/1980,SPEX,0,16675.53125,13643.61719,13643.61719,13643.58691,0
4/1/1980,SPEX,0,16675.53125,13643.61719,13643.61719,13643.58691,0
4/2/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/3/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/7/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/8/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/9/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/10/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/11/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/14/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/15/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/16/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/17/1980,SPEX,0,15917.55273,12885.63867,12885.63867,12885.61035,0
4/18/1980,SPEX,0,15917.55273,12885.63867,12885.63867,12885.61035,0
4/21/1980,SPEX,12885.63867,12885.63867,12885.63867,12885.63867,12885.61035,0
4/22/1980,SPEX,0,15917.55273,12885.63867,12885.63867,12885.61035,0
4/23/1980,SPEX,0,15917.55273,12885.63867,12885.63867,12885.61035,0
4/24/1980,SPEX,0,16675.53125,13643.61719,13643.61719,13643.58691,0
4/25/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.58691,0
4/28/1980,SPEX,0,17433.50977,14401.5957,14401.5957,14401.56348,0
4/29/1980,SPEX,0,18191.49023,15159.57422,15159.57422,15159.54102,0
4/30/1980,SPEX,0,18191.49023,15159.57422,15159.57422,15159.54102,0
5/1/1980,SPEX,15159.57422,15159.57422,15159.57422,15159.57422,15159.54102,0
5/2/1980,SPEX,15159.57422,15159.57422,15159.57422,15159.57422,15159.54102,0
5/5/1980,SPEX,15159.57422,15159.57422,15159.57422,15159.57422,15159.54102,0
5/6/1980,SPEX,0,18949.46875,15917.55273,15917.55273,15917.51758,0
5/7/1980,SPEX,0,19707.44727,16675.53125,16675.53125,16675.49414,0
5/8/1980,SPEX,0,18949.46875,15917.55273,15917.55273,15917.51758,0
5/9/1980,SPEX,0,18949.46875,15917.55273,15917.55273,15917.51758,0
5/12/1980,SPEX,15917.55273,15917.55273,15917.55273,15917.55273,15917.55273,0
5/13/1980,SPEX,15917.55273,15917.55273,15917.55273,15917.55273,15917.55273,0
5/14/1980,SPEX,15917.55273,15917.55273,15917.55273,15917.55273,15917.55273,0
5/15/1980,SPEX,0,19707.44727,16675.53125,16675.53125,16675.53125,0
5/16/1980,SPEX,0,21223.4043,18191.49023,18191.49023,18191.49023,0
5/19/1980,SPEX,0,24255.31836,21223.4043,21223.4043,21223.4043,0
5/20/1980,SPEX,0,22739.36133,19707.44727,19707.44727,19707.44727,0
5/21/1980,SPEX,0,22739.36133,18191.49023,18191.49023,18191.49023,0
5/22/1980,SPEX,18191.49023,18191.49023,18191.49023,18191.49023,18191.49023,0
5/23/1980,SPEX,18191.49023,18191.49023,18191.49023,18191.49023,18191.49023,0
5/27/1980,SPEX,18191.49023,18191.49023,18191.49023,18191.49023,18191.49023,0
5/28/1980,SPEX,0,21981.38281,18949.46875,18949.46875,18949.46875,0
5/29/1980,SPEX,18949.46875,18949.46875,18949.46875,18949.46875,18949.46875,0
5/30/1980,SPEX,18949.46875,18949.46875,18949.46875,18949.46875,18949.46875,0
6/2/1980,SPEX,18949.46875,18949.46875,18949.46875,18949.46875,18949.46875,0
6/3/1980,SPEX,0,22739.36133,19707.44727,19707.44727,19707.44727,0
6/4/1980,SPEX,0,22739.36133,19707.44727,19707.44727,19707.44727,0
6/5/1980,SPEX,0,22739.36133,19707.44727,19707.44727,19707.44727,0
6/6/1980,SPEX,19707.44727,19707.44727,19707.44727,19707.44727,19707.44727,0
6/9/1980,SPEX,19707.44727,19707.44727,19707.44727,19707.44727,19707.44727,0
6/10/1980,SPEX,0,21981.38281,18949.46875,18949.46875,18949.46875,0
6/11/1980,SPEX,0,21223.4043,18191.49023,18191.49023,18191.49023,0
6/12/1980,SPEX,0,20465.42578,17433.50977,17433.50977,17433.50977,0
6/13/1980,SPEX,0,21223.4043,18191.49023,18191.49023,18191.49023,0
6/16/1980,SPEX,18191.49023,18191.49023,18191.49023,18191.49023,18191.49023,0
6/17/1980,SPEX,0,20465.42578,17433.50977,17433.50977,17433.50977,0
6/18/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
6/19/1980,SPEX,0,20465.42578,17433.50977,17433.50977,17433.50977,0
6/20/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
6/23/1980,SPEX,0,21981.38281,18949.46875,18949.46875,18949.46875,0
6/24/1980,SPEX,18949.46875,18949.46875,18949.46875,18949.46875,18949.46875,0
6/25/1980,SPEX,0,21223.4043,18191.49023,18191.49023,18191.49023,0
6/26/1980,SPEX,0,21223.4043,18191.49023,18191.49023,18191.49023,0
6/27/1980,SPEX,0,21223.4043,18191.49023,18191.49023,18191.49023,0
6/30/1980,SPEX,18191.49023,18191.49023,18191.49023,18191.49023,18191.49023,0
7/1/1980,SPEX,0,20465.42578,17433.50977,17433.50977,17433.50977,0
7/2/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
7/3/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
7/7/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
7/8/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
7/9/1980,SPEX,0,20465.42578,18191.49023,18191.49023,18191.49023,0
7/10/1980,SPEX,0,20465.42578,18191.49023,18191.49023,18191.49023,0
7/11/1980,SPEX,0,19707.44727,18191.49023,18191.49023,18191.49023,0
7/14/1980,SPEX,18191.49023,18191.49023,18191.49023,18191.49023,18191.49023,0
7/15/1980,SPEX,0,19707.44727,18191.49023,18191.49023,18191.49023,0
7/16/1980,SPEX,18191.49023,18191.49023,18191.49023,18191.49023,18191.49023,0
7/17/1980,SPEX,0,19707.44727,17433.50977,17433.50977,17433.50977,0
7/18/1980,SPEX,0,19707.44727,17433.50977,17433.50977,17433.50977,0
7/21/1980,SPEX,0,19707.44727,17433.50977,17433.50977,17433.50977,0
7/22/1980,SPEX,0,19707.44727,17433.50977,17433.50977,17433.50977,0
7/23/1980,SPEX,0,19707.44727,17433.50977,17433.50977,17433.50977,0
7/24/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
7/25/1980,SPEX,0,19707.44727,17433.50977,17433.50977,17433.50977,0
7/28/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
7/29/1980,SPEX,0,18949.46875,17433.50977,17433.50977,17433.50977,0
7/30/1980,SPEX,0,18949.46875,17433.50977,17433.50977,17433.50977,0
7/31/1980,SPEX,0,18949.46875,17433.50977,17433.50977,17433.50977,0
8/1/1980,SPEX,0,19707.44727,17433.50977,17433.50977,17433.50977,0
8/4/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
8/5/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
8/6/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
8/7/1980,SPEX,17433.50977,17433.50977,17433.50977,17433.50977,17433.50977,0
8/8/1980,SPEX,0,18191.49023,16675.53125,16675.53125,16675.53125,0
8/11/1980,SPEX,0,17433.50977,15917.55273,15917.55273,15917.55273,0
8/12/1980,SPEX,0,17433.50977,15159.57422,15159.57422,15159.57422,0
8/13/1980,SPEX,15159.57422,15159.57422,15159.57422,15159.57422,15159.57422,0
8/14/1980,SPEX,0,17433.50977,15159.57422,15159.57422,15159.57422,0
8/15/1980,SPEX,0,17433.50977,15159.57422,15159.57422,15159.57422,0
8/18/1980,SPEX,0,15917.55273,12885.63867,12885.63867,12885.63867,0
8/19/1980,SPEX,12885.63867,12885.63867,12885.63867,12885.63867,12885.63867,0
8/20/1980,SPEX,0,15159.57422,13643.61719,13643.61719,13643.61719,0
8/21/1980,SPEX,0,15917.55273,14401.5957,14401.5957,14401.5957,0
8/22/1980,SPEX,0,15917.55273,14401.5957,14401.5957,14401.5957,0
8/25/1980,SPEX,14401.5957,14401.5957,14401.5957,14401.5957,14401.5957,0
8/26/1980,SPEX,0,16675.53125,14401.5957,14401.5957,14401.5957,0
8/27/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
8/28/1980,SPEX,15159.57422,15159.57422,15159.57422,15159.57422,15159.57422,0
8/29/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/2/1980,SPEX,15159.57422,15159.57422,15159.57422,15159.57422,15159.57422,0
9/3/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/4/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/5/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/8/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/9/1980,SPEX,15159.57422,15159.57422,15159.57422,15159.57422,15159.57422,0
9/10/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/11/1980,SPEX,15159.57422,15159.57422,15159.57422,15159.57422,15159.57422,0
9/12/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/15/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/16/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/17/1980,SPEX,0,18191.49023,15917.55273,15917.55273,15917.55273,0
9/18/1980,SPEX,15917.55273,15917.55273,15917.55273,15917.55273,15917.55273,0
9/19/1980,SPEX,0,18191.49023,15917.55273,15917.55273,15917.55273,0
9/22/1980,SPEX,0,17433.50977,15159.57422,15159.57422,15159.57422,0
9/23/1980,SPEX,0,16675.53125,15159.57422,15159.57422,15159.57422,0
9/24/1980,SPEX,0,17433.50977,15159.57422,15159.57422,15159.57422,0
9/25/1980,SPEX,0,17433.50977,15159.57422,15159.57422,15159.57422,0
9/26/1980,SPEX,0,17433.50977,15159.57422,15159.57422,15159.57422,0
9/29/1980,SPEX,0,16675.53125,14401.5957,14401.5957,14401.5957,0
9/30/1980,SPEX,0,15917.55273,14401.5957,14401.5957,14401.5957,0
10/1/1980,SPEX,0,15917.55273,14401.5957,14401.5957,14401.5957,0
10/2/1980,SPEX,0,15917.55273,14401.5957,14401.5957,14401.5957,0
10/3/1980,SPEX,0,15159.57422,14401.5957,14401.5957,14401.5957,0
10/6/1980,SPEX,0,15917.55273,14401.5957,14401.5957,14401.5957,0
10/7/1980,SPEX,0,15917.55273,14401.5957,14401.5957,14401.5957,0
10/8/1980,SPEX,0,15917.55273,14401.5957,14401.5957,14401.5957,0
10/9/1980,SPEX,0,15159.57422,14401.5957,14401.5957,14401.5957,0
10/10/1980,SPEX,0,15159.57422,14401.5957,14401.5957,14401.5957,0
10/13/1980,SPEX,0,15159.57422,14401.5957,14401.5957,14401.5957,0
10/14/1980,SPEX,0,15159.57422,14401.5957,14401.5957,14401.5957,0
10/15/1980,SPEX,0,15159.57422,14401.5957,14401.5957,14401.5957,0
10/16/1980,SPEX,0,15159.57422,14401.5957,14401.5957,14401.5957,0
10/17/1980,SPEX,14401.5957,14401.5957,14401.5957,14401.5957,14401.5957,0
10/20/1980,SPEX,0,15159.57422,13643.61719,13643.61719,13643.61719,0
10/21/1980,SPEX,0,15917.55273,13643.61719,13643.61719,13643.61719,0
10/22/1980,SPEX,0,15917.55273,13643.61719,13643.61719,13643.61719,0
10/23/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.61719,0
10/24/1980,SPEX,13643.61719,13643.61719,13643.61719,13643.61719,13643.61719,0
10/27/1980,SPEX,0,15159.57422,12885.63867,12885.63867,12885.63867,0
10/28/1980,SPEX,0,14401.5957,12885.63867,12885.63867,12885.63867,0
10/29/1980,SPEX,0,12885.63867,11369.68066,11369.68066,11369.68066,0
10/30/1980,SPEX,0,13643.61719,12127.65918,12127.65918,12127.65918,0
10/31/1980,SPEX,12127.65918,12127.65918,12127.65918,12127.65918,12127.65918,0
11/3/1980,SPEX,0,14401.5957,12127.65918,12127.65918,12127.65918,0
11/5/1980,SPEX,0,14401.5957,12127.65918,12127.65918,12127.65918,0
11/6/1980,SPEX,0,15159.57422,12127.65918,12127.65918,12127.65918,0
11/7/1980,SPEX,12127.65918,12127.65918,12127.65918,12127.65918,12127.65918,0
11/10/1980,SPEX,0,13643.61719,11369.68066,11369.68066,11369.68066,0
11/11/1980,SPEX,0,14401.5957,12127.65918,12127.65918,12127.65918,0
11/12/1980,SPEX,0,14401.5957,12127.65918,12127.65918,12127.65918,0
11/13/1980,SPEX,12127.65918,12127.65918,12127.65918,12127.65918,12127.65918,0
11/14/1980,SPEX,12127.65918,12127.65918,12127.65918,12127.65918,12127.65918,0
11/17/1980,SPEX,0,13643.61719,12127.65918,12127.65918,12127.65918,0
11/18/1980,SPEX,0,13643.61719,12127.65918,12127.65918,12127.65918,0
11/19/1980,SPEX,12127.65918,12127.65918,12127.65918,12127.65918,12127.65918,0
11/20/1980,SPEX,0,13643.61719,12127.65918,12127.65918,12127.65918,0
11/21/1980,SPEX,12127.65918,12127.65918,12127.65918,12127.65918,12127.65918,0
11/24/1980,SPEX,0,14401.5957,12127.65918,12127.65918,12127.65918,0
11/25/1980,SPEX,0,14401.5957,11369.68066,11369.68066,11369.68066,0
11/26/1980,SPEX,0,14401.5957,11369.68066,11369.68066,11369.68066,0
11/28/1980,SPEX,0,14401.5957,11369.68066,11369.68066,11369.68066,0
12/1/1980,SPEX,0,14401.5957,11369.68066,11369.68066,11369.68066,0
12/2/1980,SPEX,0,13643.61719,11369.68066,11369.68066,11369.68066,0
12/3/1980,SPEX,0,13643.61719,11369.68066,11369.68066,11369.68066,0
12/4/1980,SPEX,0,14401.5957,12127.65918,12127.65918,12127.65918,0
12/5/1980,SPEX,0,14401.5957,12127.65918,12127.65918,12127.65918,0
12/8/1980,SPEX,12127.65918,12127.65918,12127.65918,12127.65918,12127.65918,0
12/9/1980,SPEX,0,13643.61719,12127.65918,12127.65918,12127.65918,0
12/10/1980,SPEX,0,14401.5957,12127.65918,12127.65918,12127.65918,0
12/11/1980,SPEX,0,12885.63867,11369.68066,11369.68066,11369.68066,0
12/12/1980,SPEX,0,12885.63867,11369.68066,11369.68066,11369.68066,0
12/15/1980,SPEX,0,12127.65918,9853.723633,9853.723633,9853.723633,0
12/16/1980,SPEX,0,12127.65918,10611.70215,10611.70215,10611.70215,0
12/17/1980,SPEX,0,12127.65918,10611.70215,10611.70215,10611.70215,0
12/18/1980,SPEX,0,11369.68066,10611.70215,10611.70215,10611.70215,0
12/19/1980,SPEX,0,12885.63867,10611.70215,10611.70215,10611.70215,0
12/22/1980,SPEX,0,12127.65918,10611.70215,10611.70215,10611.70215,0
12/23/1980,SPEX,0,12885.63867,10611.70215,10611.70215,10611.70215,0
12/24/1980,SPEX,0,12885.63867,10611.70215,10611.70215,10611.70215,0
12/26/1980,SPEX,10611.70215,10611.70215,10611.70215,10611.70215,10611.70215,0
12/29/1980,SPEX,0,12885.63867,10611.70215,10611.70215,10611.70215,0
12/30/1980,SPEX,0,12885.63867,10611.70215,10611.70215,10611.70215,0
12/31/1980,SPEX,0,12885.63867,10611.70215,10611.70215,10611.70215,0
1/2/1981,SPEX,0,12885.63867,10611.70215,10611.70215,10611.70215,0
1/5/1981,SPEX,10611.70215,10611.70215,10611.70215,10611.70215,10611.70215,0
1/6/1981,SPEX,10611.70215,10611.70215,10611.70215,10611.70215,10611.70215,0
1/7/1981,SPEX,0,12127.65918,9853.723633,9853.723633,9853.723633,0
1/8/1981,SPEX,0,12127.65918,10611.70215,10611.70215,10611.70215,0
1/9/1981,SPEX,0,12127.65918,10611.70215,10611.70215,10611.70215,0
1/12/1981,SPEX,0,12885.63867,10611.70215,10611.70215,10611.70215,0
1/13/1981,SPEX,10611.70215,10611.70215,10611.70215,10611.70215,10611.70215,0
1/14/1981,SPEX,0,13643.61719,12127.65918,12127.65918,12127.65918,0
1/15/1981,SPEX,0,13643.61719,12127.65918,12127.65918,12127.65918,0
1/16/1981,SPEX,0,15159.57422,12885.63867,12885.63867,12885.63867,0
